age,gender,occupation,user_id
30,M,sales/marketing,12170
28,M,executive/managerial,353231
25,M,executive/managerial,553157
25,F,unemployed,186535
33,M,executive/managerial,458668
29,M,artist,642242
29,M,scientist,120398
33,M,self-employed,351118
28,M,executive/managerial,600978
27,M,executive/managerial,496985
27,M,executive/managerial,946546
26,M,college/grad student,34348
8,M,K-12 student,893946
30,M,executive/managerial,712432
31,M,college/grad student,247258
25,M,executive/managerial,396810
26,M,other or not specified,197072
27,M,other or not specified,371719
30,M,sales/marketing,63955
26,F,self-employed,341849
33,M,other or not specified,855986
32,F,college/grad student,693506
26,M,homemaker,209968
29,M,college/grad student,287423
24,M,sales/marketing,795124
33,M,college/grad student,554883
34,M,executive/managerial,703942
32,M,K-12 student,291710
29,M,college/grad student,206570
18,M,K-12 student,125772
28,M,clerical/admin,614539
27,F,sales/marketing,753042
30,M,other or not specified,77053
28,F,homemaker,109335
28,M,programmer,717116
34,M,college/grad student,456526
30,F,self-employed,84817
27,M,retired,634809
28,M,self-employed,783030
29,F,college/grad student,481331
28,M,self-employed,354488
30,M,executive/managerial,863554
27,M,sales/marketing,346199
32,M,self-employed,750782
28,M,executive/managerial,836889
28,M,executive/managerial,983325
31,M,executive/managerial,14721
32,M,sales/marketing,694611
30,M,executive/managerial,369273
22,M,sales/marketing,786663
27,M,executive/managerial,301109
27,M,scientist,70285
34,F,executive/managerial,444135
31,M,college/grad student,52881
25,M,customer service,787557
33,F,college/grad student,812746
19,F,college/grad student,440112
33,M,college/grad student,996933
33,M,college/grad student,334700
25,M,college/grad student,859335
29,M,other or not specified,811507
34,M,executive/managerial,994387
30,M,scientist,241209
25,M,executive/managerial,615898
28,M,programmer,184660
26,M,academic/educator,410925
25,M,college/grad student,520747
31,F,academic/educator,212987
34,M,executive/managerial,313893
32,M,other or not specified,696188
25,M,self-employed,923555
33,M,college/grad student,773877
30,M,executive/managerial,936605
57,F,self-employed,284945
20,M,sales/marketing,665636
33,F,homemaker,851039
29,F,sales/marketing,449032
30,M,college/grad student,529227
18,F,K-12 student,976130
33,M,sales/marketing,724392
28,M,other or not specified,803324
29,M,executive/managerial,685368
27,F,sales/marketing,731306
30,M,scientist,265223
31,F,scientist,728576
32,M,sales/marketing,484688
21,M,college/grad student,82140
32,M,college/grad student,991654
25,F,sales/marketing,365376
34,M,college/grad student,25609
25,M,executive/managerial,240965
34,M,executive/managerial,960426
38,M,executive/managerial,910400
31,M,executive/managerial,688187
23,M,sales/marketing,603655
76,F,executive/managerial,332268
31,M,technician/engineer,41249
29,F,other or not specified,302097
31,M,executive/managerial,601571
25,M,self-employed,709897
27,M,college/grad student,672790
28,M,college/grad student,644871
32,M,other or not specified,405798
31,M,K-12 student,483338
26,M,college/grad student,160981
34,M,artist,982076
19,F,self-employed,393516
25,M,sales/marketing,951455
30,M,executive/managerial,327323
31,M,executive/managerial,305649
29,M,executive/managerial,132856
30,M,homemaker,375322
30,M,self-employed,701613
19,M,other or not specified,292312
28,M,academic/educator,185747
30,F,college/grad student,69058
29,M,scientist,623762
43,M,academic/educator,264169
25,M,executive/managerial,63338
26,M,executive/managerial,3904
29,F,college/grad student,350173
23,M,scientist,198097
32,F,other or not specified,942309
27,M,college/grad student,591923
18,M,sales/marketing,607506
34,M,sales/marketing,18413
28,M,executive/managerial,155288
33,F,homemaker,221507
29,M,executive/managerial,534581
32,M,scientist,374898
26,M,scientist,797325
27,M,homemaker,369664
33,M,executive/managerial,670817
28,M,sales/marketing,894763
32,M,lawyer,453299
22,M,other or not specified,633649
27,F,self-employed,162151
34,F,academic/educator,552933
27,M,sales/marketing,890132
19,M,college/grad student,399452
30,M,sales/marketing,575138
34,M,sales/marketing,359095
27,M,self-employed,619799
27,M,college/grad student,308221
33,M,executive/managerial,707352
33,M,self-employed,752949
25,M,homemaker,628603
31,M,academic/educator,280526
30,M,college/grad student,112641
33,M,sales/marketing,79967
25,M,scientist,26680
30,M,scientist,436854
32,M,executive/managerial,364770
27,M,writer,755628
27,F,college/grad student,168624
18,M,K-12 student,790818
31,M,scientist,71185
30,F,academic/educator,17193
33,M,programmer,106346
26,M,college/grad student,153157
29,F,other or not specified,606806
33,M,sales/marketing,135757
26,F,college/grad student,487535
29,M,executive/managerial,673473
19,M,college/grad student,358352
19,M,sales/marketing,920086
29,M,college/grad student,825965
27,M,scientist,171803
12,M,K-12 student,624716
30,M,other or not specified,622709
31,M,executive/managerial,877745
34,F,artist,392926
49,F,sales/marketing,950742
25,M,college/grad student,232017
28,F,academic/educator,404247
26,M,college/grad student,340066
20,M,college/grad student,299169
27,M,self-employed,258553
30,M,technician/engineer,692204
26,M,other or not specified,256642
29,M,scientist,602669
30,M,college/grad student,985832
81,F,retired,965040
29,F,other or not specified,658859
25,F,other or not specified,981127
33,M,college/grad student,830664
34,M,retired,355845
33,M,executive/managerial,12394
26,M,executive/managerial,901689
25,M,executive/managerial,878432
25,M,executive/managerial,500112
34,M,executive/managerial,377510
34,M,college/grad student,360508
27,M,scientist,419208
34,F,college/grad student,37306
26,M,self-employed,901681
28,M,scientist,529713
18,M,K-12 student,665054
33,M,other or not specified,185479
23,M,programmer,164712
29,M,artist,354939
30,M,college/grad student,642298
30,M,sales/marketing,727689
31,M,sales/marketing,132843
32,F,college/grad student,499470
34,M,scientist,970026
18,M,K-12 student,255674
28,M,scientist,340341
34,M,executive/managerial,670204
34,M,other or not specified,147130
33,M,executive/managerial,210244
30,M,college/grad student,449169
30,M,college/grad student,957195
34,M,college/grad student,162357
31,M,scientist,101945
33,M,clerical/admin,347958
25,M,other or not specified,25261
46,F,clerical/admin,647452
27,M,scientist,463358
26,M,sales/marketing,315550
28,M,executive/managerial,864901
32,M,writer,248150
34,F,college/grad student,910316
32,F,executive/managerial,81423
32,M,sales/marketing,641657
31,M,sales/marketing,528776
19,M,sales/marketing,208481
32,M,other or not specified,245222
27,M,other or not specified,80934
28,M,college/grad student,693537
26,M,self-employed,347380
28,M,executive/managerial,218077
23,M,other or not specified,92874
28,M,technician/engineer,806379
28,M,tradesman/craftsman,90623
30,M,college/grad student,718857
34,F,sales/marketing,218050
30,M,technician/engineer,116397
29,M,executive/managerial,300781
60,F,academic/educator,176206
29,M,clerical/admin,234891
27,M,sales/marketing,818281
28,M,executive/managerial,725059
31,F,academic/educator,214041
30,M,executive/managerial,100883
34,M,college/grad student,724303
28,M,college/grad student,498551
26,M,other or not specified,428984
25,M,other or not specified,619635
31,M,self-employed,99473
33,M,college/grad student,889372
28,M,college/grad student,867556
18,M,K-12 student,701511
31,M,self-employed,980213
27,F,sales/marketing,822496
30,M,scientist,31695
27,F,college/grad student,359985
27,M,other or not specified,385348
18,M,K-12 student,633295
28,M,technician/engineer,27819
60,M,academic/educator,951443
28,M,executive/managerial,840350
28,M,executive/managerial,240896
21,M,sales/marketing,233409
30,M,K-12 student,258843
31,M,sales/marketing,810888
28,M,college/grad student,342974
31,M,self-employed,232323
28,M,college/grad student,157488
58,F,retired,753835
30,M,executive/managerial,704322
50,F,academic/educator,892213
29,M,college/grad student,344842
27,M,academic/educator,344813
30,M,executive/managerial,231870
26,M,college/grad student,442774
30,M,clerical/admin,527431
28,F,scientist,816605
30,F,college/grad student,48505
27,F,other or not specified,848173
33,M,retired,578945
28,M,college/grad student,456406
26,M,executive/managerial,979604
33,M,college/grad student,654679
32,M,sales/marketing,282981
26,M,executive/managerial,325790
32,M,artist,584202
25,M,scientist,477948
34,M,college/grad student,767872
19,M,K-12 student,590048
29,M,tradesman/craftsman,704556
27,M,college/grad student,790459
26,M,sales/marketing,369165
25,M,college/grad student,283446
26,F,college/grad student,929659
34,M,writer,288932
25,M,scientist,54608
55,M,academic/educator,174536
27,M,executive/managerial,219431
29,M,artist,258868
31,M,college/grad student,548008
29,M,executive/managerial,792552
29,M,sales/marketing,739273
31,F,college/grad student,319644
25,M,executive/managerial,808774
26,M,college/grad student,371727
77,M,retired,374754
32,M,college/grad student,433119
31,M,scientist,932758
29,M,executive/managerial,210524
22,M,clerical/admin,404035
29,M,college/grad student,804161
26,M,executive/managerial,83174
27,M,other or not specified,324508
32,F,artist,680573
28,M,college/grad student,229407
26,M,college/grad student,364925
27,M,clerical/admin,976380
34,F,executive/managerial,360337
34,M,college/grad student,914159
26,M,college/grad student,943276
32,M,executive/managerial,280890
28,M,executive/managerial,873939
30,M,executive/managerial,601176
30,M,customer service,979859
18,M,self-employed,653584
25,M,college/grad student,401156
31,M,college/grad student,453494
29,M,sales/marketing,920291
25,M,college/grad student,961429
28,M,retired,909662
72,M,academic/educator,773645
22,M,sales/marketing,171007
31,F,self-employed,914340
26,F,other or not specified,756597
25,M,college/grad student,632588
31,M,sales/marketing,452706
24,M,sales/marketing,900589
33,M,college/grad student,330144
29,F,retired,374480
30,M,sales/marketing,758756
30,M,college/grad student,654602
31,M,artist,87485
28,M,self-employed,392320
29,M,college/grad student,735891
29,M,college/grad student,661322
27,M,sales/marketing,535923
31,M,other or not specified,511130
32,M,college/grad student,733800
30,F,academic/educator,909256
39,F,other or not specified,992707
33,M,K-12 student,477542
76,F,retired,74266
34,M,self-employed,291545
18,M,homemaker,391914
38,M,doctor/health care,510785
30,M,scientist,510968
27,F,college/grad student,609686
27,M,other or not specified,874347
33,M,college/grad student,689084
26,M,scientist,538534
30,F,college/grad student,654618
29,M,scientist,910544
28,M,farmer,480963
26,M,scientist,998474
34,M,scientist,526252
29,M,executive/managerial,906699
25,M,academic/educator,540784
25,F,artist,317763
21,M,sales/marketing,807553
11,M,sales/marketing,697624
31,M,clerical/admin,513591
27,F,college/grad student,580137
33,M,other or not specified,705024
31,F,other or not specified,198218
32,M,lawyer,672005
28,M,college/grad student,947126
33,M,other or not specified,357104
26,M,college/grad student,695543
25,M,self-employed,5042
26,M,executive/managerial,618414
30,M,college/grad student,793992
38,M,artist,901406
30,M,self-employed,119949
26,M,other or not specified,394133
26,M,college/grad student,851558
26,M,college/grad student,738479
27,M,executive/managerial,745550
23,M,artist,40848
28,M,executive/managerial,313129
31,M,scientist,23606
31,M,sales/marketing,470923
34,M,artist,163466
25,M,college/grad student,107309
50,M,self-employed,372099
27,M,executive/managerial,266660
35,M,executive/managerial,276605
30,M,other or not specified,311520
33,F,college/grad student,85299
29,M,scientist,67937
31,F,academic/educator,645645
33,M,sales/marketing,585425
34,M,clerical/admin,167914
31,M,scientist,749725
30,M,executive/managerial,570314
13,M,sales/marketing,97666
8,F,K-12 student,990532
27,M,sales/marketing,352384
26,M,scientist,395125
29,M,scientist,897948
27,F,other or not specified,748929
31,M,executive/managerial,966671
25,M,college/grad student,95287
28,M,sales/marketing,622981
25,M,college/grad student,208404
34,M,executive/managerial,910515
32,M,college/grad student,171632
28,M,executive/managerial,760897
34,M,executive/managerial,715626
28,M,college/grad student,889139
34,F,sales/marketing,844725
35,M,sales/marketing,850110
80,F,retired,991327
31,M,scientist,405160
31,M,self-employed,669554
30,M,executive/managerial,827023
26,M,executive/managerial,699768
31,F,self-employed,787861
33,M,college/grad student,711194
31,M,sales/marketing,237842
32,M,other or not specified,374389
25,M,executive/managerial,767466
36,M,sales/marketing,92636
59,F,retired,220728
34,M,college/grad student,971573
33,M,retired,24532
34,F,academic/educator,211285
34,M,college/grad student,367439
28,F,sales/marketing,715255
26,M,college/grad student,704510
31,F,self-employed,73015
40,M,artist,604583
25,M,academic/educator,952631
30,M,college/grad student,818950
34,M,sales/marketing,361498
25,M,college/grad student,397837
32,M,clerical/admin,975805
27,M,sales/marketing,611714
25,M,scientist,880323
26,M,college/grad student,640590
22,M,sales/marketing,333673
34,M,college/grad student,405493
24,M,scientist,918755
34,M,scientist,967288
30,M,tradesman/craftsman,374477
20,M,scientist,629642
32,M,self-employed,755309
30,M,sales/marketing,959890
30,M,sales/marketing,521278
28,M,programmer,885836
30,M,self-employed,108354
28,F,sales/marketing,32999
32,M,executive/managerial,578818
30,M,executive/managerial,350084
28,M,executive/managerial,800561
27,M,sales/marketing,786553
25,M,other or not specified,201766
25,M,other or not specified,156795
32,M,executive/managerial,858057
33,M,college/grad student,641304
21,F,homemaker,61430
33,M,college/grad student,76524
28,M,sales/marketing,399809
22,M,sales/marketing,278132
31,M,executive/managerial,595905
33,M,other or not specified,64983
26,M,college/grad student,17140
33,M,executive/managerial,263304
33,F,clerical/admin,973887
29,M,scientist,232026
18,M,homemaker,727650
27,M,executive/managerial,241136
44,M,academic/educator,307398
34,M,college/grad student,284594
30,M,college/grad student,849283
28,M,executive/managerial,6980
29,M,executive/managerial,704721
51,M,executive/managerial,111154
28,M,sales/marketing,599979
25,M,college/grad student,157591
32,M,executive/managerial,625543
34,M,clerical/admin,451818
19,M,sales/marketing,42462
30,F,other or not specified,86330
22,M,college/grad student,981340
32,F,sales/marketing,768847
32,M,college/grad student,563311
30,M,college/grad student,686869
34,M,college/grad student,837485
33,F,retired,404130
34,M,executive/managerial,946977
34,M,executive/managerial,544117
28,M,executive/managerial,261511
34,M,college/grad student,964609
26,M,scientist,574332
28,M,college/grad student,428531
25,M,executive/managerial,666814
26,M,executive/managerial,58661
29,M,college/grad student,145771
28,M,college/grad student,378666
28,M,college/grad student,9066
28,F,college/grad student,901884
34,M,executive/managerial,728822
69,F,retired,492522
34,M,other or not specified,323737
32,M,sales/marketing,845162
27,M,technician/engineer,83568
25,M,college/grad student,907813
53,M,executive/managerial,959340
18,F,homemaker,191627
31,F,executive/managerial,191029
30,M,college/grad student,528664
29,F,clerical/admin,61603
26,M,executive/managerial,130967
32,F,other or not specified,711842
34,M,sales/marketing,34949
25,M,executive/managerial,831052
30,M,executive/managerial,927149
25,F,other or not specified,930334
33,M,sales/marketing,757248
28,M,executive/managerial,888926
32,M,K-12 student,488040
55,M,academic/educator,619018
26,M,college/grad student,677870
34,M,college/grad student,717995
31,M,executive/managerial,84642
28,F,artist,813046
44,M,executive/managerial,866329
30,F,self-employed,93563
31,M,homemaker,239364
39,M,executive/managerial,963551
29,M,customer service,637501
25,M,sales/marketing,776426
31,M,college/grad student,899179
39,M,executive/managerial,409625
31,M,college/grad student,204193
33,M,college/grad student,249679
34,M,academic/educator,231050
32,M,college/grad student,384052
31,M,scientist,351670
26,F,academic/educator,93080
27,F,academic/educator,480749
26,F,self-employed,957696
31,M,sales/marketing,809828
60,F,executive/managerial,409965
22,M,artist,186889
26,F,college/grad student,340839
25,F,other or not specified,581740
29,M,scientist,217678
33,F,self-employed,859354
22,M,other or not specified,326668
27,M,executive/managerial,209171
33,F,college/grad student,486273
32,M,college/grad student,253732
25,M,college/grad student,956194
31,M,college/grad student,945546
25,F,academic/educator,350303
28,M,homemaker,110479
34,F,college/grad student,178771
25,M,academic/educator,842993
31,M,sales/marketing,788310
34,F,scientist,853125
29,M,academic/educator,466357
26,M,sales/marketing,523750
27,M,executive/managerial,432619
26,M,sales/marketing,968131
26,F,artist,715749
88,M,retired,172741
32,M,other or not specified,833796
27,M,sales/marketing,541136
35,M,college/grad student,295816
86,F,clerical/admin,831752
25,M,sales/marketing,357402
29,M,scientist,144340
35,M,executive/managerial,333323
31,M,self-employed,313483
34,M,sales/marketing,820981
28,F,college/grad student,803884
26,F,college/grad student,179614
39,M,artist,49018
28,M,scientist,394341
33,F,academic/educator,114236
31,F,academic/educator,867184
34,M,college/grad student,375798
31,M,scientist,268387
34,M,college/grad student,930013
31,M,college/grad student,925386
40,F,academic/educator,805485
27,M,college/grad student,707667
26,M,executive/managerial,737510
26,M,executive/managerial,639198
32,M,self-employed,476037
33,F,clerical/admin,263857
18,M,K-12 student,193440
28,M,technician/engineer,412857
33,M,K-12 student,958496
34,M,academic/educator,200039
29,M,college/grad student,761009
28,M,sales/marketing,845648
25,M,executive/managerial,896194
26,F,college/grad student,268812
18,M,artist,855054
31,M,scientist,916249
32,M,scientist,980279
29,M,sales/marketing,740682
32,F,retired,365460
25,M,sales/marketing,654622
27,F,executive/managerial,3692
30,M,college/grad student,919266
33,M,other or not specified,929389
31,F,college/grad student,821163
26,M,executive/managerial,192669
27,F,clerical/admin,626970
25,M,scientist,624737
36,F,artist,557745
31,M,college/grad student,883737
27,M,executive/managerial,999278
29,F,other or not specified,507634
34,M,sales/marketing,537197
29,M,college/grad student,396707
34,M,sales/marketing,107674
34,M,college/grad student,201186
33,M,executive/managerial,787345
33,M,scientist,429247
34,M,customer service,904006
29,M,executive/managerial,254615
43,M,scientist,744707
30,M,self-employed,164638
29,F,academic/educator,283223
14,M,K-12 student,603889
27,M,sales/marketing,278065
33,M,sales/marketing,547125
27,M,college/grad student,881155
27,M,clerical/admin,963842
34,M,college/grad student,379864
26,F,other or not specified,443759
31,M,college/grad student,699013
18,M,homemaker,804429
34,F,college/grad student,730016
28,M,college/grad student,482131
33,M,executive/managerial,170434
28,M,sales/marketing,932104
20,M,K-12 student,713367
29,M,scientist,931128
32,M,sales/marketing,241583
27,M,college/grad student,988295
23,M,college/grad student,906251
27,M,executive/managerial,434775
26,M,executive/managerial,304145
33,M,sales/marketing,854645
24,M,sales/marketing,318161
28,M,artist,901026
34,F,self-employed,290790
26,M,college/grad student,398072
25,M,sales/marketing,444348
29,F,college/grad student,378853
31,M,academic/educator,765598
20,M,K-12 student,205479
26,M,other or not specified,467954
25,F,retired,517458
26,M,college/grad student,684046
34,M,scientist,290669
33,F,homemaker,252255
51,F,academic/educator,769227
11,M,K-12 student,217351
32,M,college/grad student,378632
32,M,college/grad student,49987
31,M,executive/managerial,555568
30,M,other or not specified,741529
31,M,self-employed,492618
32,F,executive/managerial,476797
28,M,sales/marketing,792679
26,M,self-employed,45980
21,M,sales/marketing,259683
34,M,other or not specified,725513
34,M,college/grad student,872158
34,M,college/grad student,211489
27,F,executive/managerial,160828
26,M,artist,161896
21,M,scientist,41718
26,M,college/grad student,259749
29,M,sales/marketing,427803
26,F,sales/marketing,507817
53,M,executive/managerial,501113
84,M,retired,554630
34,M,scientist,948467
26,M,tradesman/craftsman,385162
29,M,executive/managerial,808028
52,M,academic/educator,852937
29,F,academic/educator,408674
37,M,executive/managerial,525361
74,F,college/grad student,676260
32,M,executive/managerial,956775
34,M,executive/managerial,359083
23,M,sales/marketing,697330
27,M,scientist,836745
53,F,sales/marketing,432199
30,F,college/grad student,774664
26,M,executive/managerial,13615
32,M,executive/managerial,743201
31,M,college/grad student,498778
19,M,scientist,361606
29,M,executive/managerial,540744
23,M,college/grad student,150321
26,M,sales/marketing,160291
34,M,unemployed,308002
33,M,scientist,593237
38,F,academic/educator,819444
32,F,academic/educator,156507
21,M,sales/marketing,133252
34,M,sales/marketing,720968
27,M,college/grad student,395341
15,M,K-12 student,997250
27,M,executive/managerial,947774
25,M,executive/managerial,430912
27,M,executive/managerial,765517
45,F,other or not specified,151395
34,M,college/grad student,488938
28,M,sales/marketing,30003
29,M,scientist,991154
28,M,academic/educator,626749
26,F,self-employed,145709
32,M,homemaker,194367
24,M,other or not specified,591765
32,M,executive/managerial,758140
28,M,college/grad student,77194
29,F,other or not specified,189183
32,M,college/grad student,561381
32,F,college/grad student,476293
27,M,college/grad student,435646
27,M,sales/marketing,962228
26,M,other or not specified,553267
34,M,executive/managerial,47316
27,M,executive/managerial,506371
29,M,college/grad student,610128
28,M,scientist,795908
48,F,academic/educator,312198
33,F,college/grad student,32479
27,M,college/grad student,568732
26,M,sales/marketing,182440
26,M,other or not specified,809845
32,F,academic/educator,405360
27,F,college/grad student,88733
34,M,academic/educator,418040
26,M,executive/managerial,720017
32,F,college/grad student,458685
34,M,scientist,770841
28,M,sales/marketing,459046
30,M,retired,392987
31,M,scientist,815363
30,M,executive/managerial,834856
28,M,executive/managerial,560248
29,M,programmer,451010
31,M,scientist,468749
33,F,homemaker,539925
27,M,sales/marketing,513441
27,M,executive/managerial,927891
44,M,scientist,639182
25,M,retired,385611
32,M,sales/marketing,415420
34,M,college/grad student,23469
30,M,self-employed,342679
30,M,other or not specified,118181
18,F,K-12 student,422283
30,M,college/grad student,155197
28,M,programmer,236089
36,M,sales/marketing,625112
29,M,college/grad student,307087
26,M,college/grad student,780015
27,M,executive/managerial,565548
31,M,other or not specified,635081
23,M,sales/marketing,145723
25,M,artist,428813
43,M,executive/managerial,460488
29,M,executive/managerial,37721
31,M,executive/managerial,892407
28,M,sales/marketing,155900
18,M,scientist,695408
29,M,college/grad student,553744
29,M,college/grad student,232429
31,M,college/grad student,4377
31,M,scientist,33220
25,M,clerical/admin,293661
32,M,college/grad student,160326
40,M,academic/educator,899533
26,M,sales/marketing,729617
25,M,executive/managerial,192167
55,M,executive/managerial,425350
21,M,sales/marketing,104021
28,M,executive/managerial,524658
32,M,executive/managerial,533455
27,M,college/grad student,553199
26,F,academic/educator,354462
40,M,clerical/admin,138325
27,M,college/grad student,453628
29,F,college/grad student,807601
29,M,executive/managerial,702849
71,F,academic/educator,788891
28,M,sales/marketing,69690
29,M,tradesman/craftsman,688178
32,M,scientist,60230
25,F,academic/educator,377107
28,M,unemployed,374578
32,M,college/grad student,581486
27,M,executive/managerial,848819
29,M,sales/marketing,114645
27,M,sales/marketing,686717
20,M,sales/marketing,896708
34,M,other or not specified,709036
46,M,clerical/admin,603102
32,F,other or not specified,902037
25,M,executive/managerial,713653
33,M,college/grad student,997042
31,M,college/grad student,289046
30,M,homemaker,815018
30,M,technician/engineer,238422
29,F,scientist,823518
29,M,executive/managerial,796408
31,M,artist,516139
27,M,college/grad student,542228
26,M,homemaker,307199
25,M,artist,580134
32,F,scientist,255066
30,M,technician/engineer,125085
22,M,college/grad student,460878
28,M,retired,538062
23,M,college/grad student,244638
29,F,college/grad student,680042
31,M,sales/marketing,456649
25,F,college/grad student,818283
38,M,sales/marketing,4313
32,M,scientist,384864
30,M,sales/marketing,609282
27,M,scientist,613855
26,M,K-12 student,209414
26,M,college/grad student,162121
31,M,sales/marketing,8761
29,M,other or not specified,849086
34,F,self-employed,631866
32,M,executive/managerial,33019
30,M,sales/marketing,962044
34,M,scientist,970255
25,M,self-employed,158710
27,M,sales/marketing,622038
31,M,college/grad student,919715
28,M,scientist,916720
26,M,executive/managerial,880224
26,M,executive/managerial,907713
26,M,college/grad student,1373
27,F,other or not specified,796168
32,M,executive/managerial,577231
32,M,college/grad student,365274
21,F,scientist,571654
21,M,scientist,714370
30,M,executive/managerial,255573
90,M,college/grad student,570061
43,F,executive/managerial,445744
38,M,sales/marketing,649427
33,F,academic/educator,795852
32,M,college/grad student,900296
32,M,college/grad student,285154
33,M,executive/managerial,371708
33,M,sales/marketing,69908
27,M,executive/managerial,84435
32,M,college/grad student,227625
33,M,sales/marketing,61804
33,F,artist,568333
25,M,self-employed,89875
26,M,academic/educator,368579
28,M,college/grad student,504779
31,M,other or not specified,413084
34,M,executive/managerial,218447
26,M,technician/engineer,145446
29,M,sales/marketing,5921
28,M,college/grad student,661464
34,M,college/grad student,511492
38,M,sales/marketing,863833
25,M,college/grad student,525049
25,M,self-employed,228784
34,F,lawyer,404585
25,M,tradesman/craftsman,176179
26,M,sales/marketing,801898
29,F,college/grad student,841196
30,M,college/grad student,214695
25,F,self-employed,776606
26,M,scientist,234942
26,M,other or not specified,408410
28,M,scientist,641775
28,M,executive/managerial,908206
34,F,college/grad student,993470
28,M,executive/managerial,901338
18,M,tradesman/craftsman,5612
27,M,executive/managerial,108603
20,M,sales/marketing,180789
32,M,sales/marketing,981076
26,M,other or not specified,143475
31,M,executive/managerial,176375
29,M,sales/marketing,234139
22,M,sales/marketing,504751
25,M,sales/marketing,752482
28,M,executive/managerial,669683
27,M,sales/marketing,336097
33,M,executive/managerial,577930
32,M,other or not specified,317088
34,F,self-employed,661429
22,M,technician/engineer,797853
25,M,retired,256825
34,F,K-12 student,935288
28,M,clerical/admin,172455
34,F,academic/educator,180854
22,M,college/grad student,986822
18,M,other or not specified,23533
29,M,scientist,323279
26,M,executive/managerial,482728
32,M,college/grad student,467549
26,M,sales/marketing,811774
87,F,self-employed,245260
30,M,scientist,513400
34,M,self-employed,39019
58,M,retired,870391
26,F,sales/marketing,732173
34,M,self-employed,932733
27,M,scientist,168469
33,F,executive/managerial,926823
20,M,college/grad student,306368
26,M,other or not specified,397009
30,M,self-employed,54127
18,M,K-12 student,189121
25,M,sales/marketing,16349
21,M,college/grad student,265029
28,M,executive/managerial,388224
42,F,sales/marketing,763062
29,F,other or not specified,769542
25,M,self-employed,762194
27,M,scientist,301453
30,M,college/grad student,394036
25,M,college/grad student,961972
32,M,clerical/admin,871720
29,M,other or not specified,597455
26,M,college/grad student,607824
33,M,college/grad student,209261
31,F,academic/educator,177834
32,M,executive/managerial,510567
29,M,clerical/admin,913293
34,M,farmer,368486
31,M,retired,26654
29,F,college/grad student,665360
31,M,tradesman/craftsman,608039
30,M,executive/managerial,513716
30,M,technician/engineer,384046
34,M,college/grad student,294036
34,M,executive/managerial,188743
20,M,sales/marketing,765725
28,F,executive/managerial,36122
32,M,scientist,344423
37,M,executive/managerial,874217
28,M,college/grad student,930598
29,M,scientist,901688
29,M,scientist,242519
33,M,executive/managerial,287527
26,F,other or not specified,87523
34,M,college/grad student,761567
32,M,clerical/admin,644080
31,M,sales/marketing,173352
30,M,other or not specified,207883
28,M,self-employed,490974
21,M,sales/marketing,313495
51,M,technician/engineer,786690
34,M,executive/managerial,227592
32,M,executive/managerial,109714
30,M,college/grad student,713783
22,M,sales/marketing,556860
18,M,K-12 student,927516
30,M,sales/marketing,619097
66,M,retired,738380
26,M,other or not specified,740722
25,M,college/grad student,742164
33,M,executive/managerial,110314
32,F,executive/managerial,163779
18,M,scientist,207746
24,M,college/grad student,357339
32,M,college/grad student,15985
25,F,other or not specified,300758
18,M,college/grad student,532657
18,M,sales/marketing,629626
26,M,programmer,284418
34,M,technician/engineer,365258
